,uwwName,uwwLatitude,uwwLongitude,the_geom
0,Tandragee,54.349,-6.404,POINT (-6.404 54.34900003475147)
1,Fochabers,57.62433000000001,-3.10167,POINT (-3.101670000000001 57.62433003019494)
2,Forfarnew,56.64134,-2.90993,POINT (-2.90993 56.64134003165175)
3,Forres,57.61541,-3.61104,POINT (-3.6110400000000005 57.615410030208444)
4,Fortwilliamnew,56.82839,-5.10111,POINT (-5.10111 56.828390031379726)
5,Forths.T.W.,55.761540000000004,-3.67941,POINT (-3.679410000000002 55.761540032895105)
6,Fraserburgh Wwtw- Aberdeen Pfi,57.69087,-2.04895,POINT (-2.0489499999999996 57.69087003009401)
7,Girvans.T.W.,55.261019999999995,-4.84906,POINT (-4.84906 55.26102003357379)
8,Gleneagles ,56.279819999999994,-3.72833,POINT (-3.7283299999999997 56.27982003217009)
9,Gorebridge Wwtw,55.840090000000004,-3.05531,POINT (-3.05531 55.84009003278664)
10,Halesworth ,52.33663855,1.50856237,POINT (1.508562373 52.336638587045734)
11,Halstead   ,51.935388200000006,0.6678615999999999,POINT (0.667861601 51.93538823744794)
12,Pewsey ,51.333185,-1.77701901,POINT (-1.77701901 51.33318503801447)
13,Poole ,50.74426491,-1.9915968000000002,POINT (-1.991596795 50.7442649485239)
14,Hanslope ,52.11847762,-0.84064311,POINT (-0.840643113 52.11847765726684)
15,Portsihead / Pill   ,51.49171037,-2.73613305,POINT (-2.736133048 51.491710407869746)
16,Potterne ,51.32803618,-2.01747222,POINT (-2.01747222 51.32803621801913)
17,Harleston ,52.40872221,1.30485771,POINT (1.3048577100000003 52.40872224697144)
18,Pucklechurch ,51.47993423,-2.42763935,POINT (-2.4276393479999996 51.479934267880594)
19,Radstock / Midsomer Norton ,51.29468428,-2.43337257,POINT (-2.433372568 51.29468431804913)
20,Raf Lyneham ,51.50543727,-1.96769003,POINT (-1.9676900330000002 51.50543730785706)
21,St Osyth ,51.77815475,1.05056231,POINT (1.050562307 51.77815478760021)
22,Ratfyn ,51.18422997,-1.77438943,POINT (-1.7743894320000002 51.184230008147544)
23,Stalham ,52.77333925,1.49535263,POINT (1.495352632 52.773339286586236)
24,Redwick ,51.57204691,-2.65316426,POINT (-2.6531642610000006 51.57204694779517)
25,Ringwood ,50.83201629,-1.78568801,POINT (-1.7856880089999998 50.832016328450834)
26,Stamford ,52.64564893,-0.41849406,POINT (-0.418494062 52.64564896672291)
27,Rowde ,51.36387778,-2.04724709,POINT (-2.0472470889999994 51.3638778179867)
28,Salisbury ,51.06129586,-1.77250366,POINT (-1.7725036640000005 51.06129589825524)
29,Shaftesbury ,50.99210785,-2.19829753,POINT (-2.198297534000001 50.992107888314976)
30,Sharpness ,51.71119081,-2.47483009,POINT (-2.4748300879999996 51.711190847664156)
31,Shepton Mallet ,51.19355338,-2.57309479,POINT (-2.573094791 51.19355341813928)
32,Sherborne ,50.93677997,-2.52538622,POINT (-2.525386222 50.93678000836232)
33,Shillingstone ,50.89645084,-2.23514455,POINT (-2.23514455 50.89645087839658)
34,Somerton ,51.06485776,-2.73675994,POINT (-2.7367599400000007 51.06485779825215)
35,South Petherton ,50.95303497,-2.81172531,POINT (-2.8117253079999993 50.953035008348444)
36,Sturminster Newton ,50.92689344,-2.2932080000000004,POINT (-2.293208001999999 50.92689347837072)
37,Sutton Benger ,51.50793876,-2.06898114,POINT (-2.068981139 51.507938797854735)
38,Harwich   ,51.93744555,1.22785603,POINT (1.227856026 51.93744558744594)
39,Stanbridgeford ,51.89523436,-0.6027934,POINT (-0.6027933969999999 51.89523439748713)
40,Swanage ,50.60756542,-1.95106167,POINT (-1.9510616660000002 50.6075654586357)
41,Blandford Forum   ,50.82612669,-2.11879472,POINT (-2.118794724 50.82612672845579)
42,Biggleswade ,52.10620289,-0.26106436,POINT (-0.261064362 52.106202927279114)
43,Taunton ,51.01581559,-3.02708904,POINT (-3.027089035 51.01581562829459)
44,Knaresborough ,54.0050429,-1.44309613,POINT (-1.4430961330000003 54.0050429351745)
45,"East Hastings, Bexhill   """,50.85699169,0.50719372,POINT (0.507193718 50.85699172842989)
46,Tetbury ,51.63382461,-2.15557495,POINT (-2.155574948 51.633824647737285)
47,Snarrows ,52.76228293,-1.35770757,POINT (-1.3577075680000001 52.762282966598164)
48,Westhoughton ,53.52843435,-2.52947011,POINT (-2.5294701090000005 53.528434385740375)
49,Whaley Bridge ,53.34588181,-1.98270195,POINT (-1.982701949 53.34588184595068)
50,Whalley ,53.82311908,-2.42684333,POINT (-2.4268433299999996 53.82311911539332)
51,Belbroughton ,52.38547368,-2.13293767,POINT (-2.1329376690000004 52.38547371699547)
52,Bromsgrove ,52.31316242,-2.06040381,POINT (-2.060403812 52.3131624570698)
53,Broughton Astley ,52.54808188,-1.22678594,POINT (-1.226785938 52.54808191682605)
54,Moy,54.45,-6.683,POINT (-6.682999999999998 54.450000034625)
55,Thingley ,51.422605,-2.16362814,POINT (-2.1636281420000003 51.42260503793322)
56,Shoreham / Portslade   ,50.82899249,-0.22721678,POINT (-0.227216779 50.82899252845337)
57,Thornbury ,51.62738948,-2.53795255,POINT (-2.5379525489999994 51.627389517743346)
58,Thornford ,50.91224237,-2.57987249,POINT (-2.5798724849999997 50.912242408383165)
59,Tisbury ,51.06808104,-2.06416911,POINT (-2.0641691049999995 51.068081078249335)
60,Trowbridge ,51.32135635,-2.21994997,POINT (-2.219949965 51.321356388025144)
61,Cowbit ,52.75443929,-0.09240706,POINT (-0.092407057 52.754439326606594)
62,Forncett End ,52.49359207,1.15594861,POINT (1.1559486099999998 52.493592106883156)
63,South Killingholme ,53.65253263,-0.25400208,POINT (-0.254002083 53.65253266559535)
64,Earl Shilton ,52.57172532,-1.29896547,POINT (-1.298965467 52.57172535680115)
65,Warminster ,51.19299906,-2.18260304,POINT (-2.182603039 51.192999098139786)
66,Watchet ,51.17808272,-3.34228212,POINT (-3.3422821230000004 51.17808275815298)
67,Wellington ,50.98918491,-3.24136132,POINT (-3.241361320000001 50.98918494831749)
68,Wells ,51.2047436,-2.66727695,POINT (-2.6672769490000006 51.20474363812938)
69,Burnham-On-Sea / Highbridge   ,51.21580871,-3.00604866,POINT (-3.006048657 51.21580874811958)
70,Westbury ,51.27222648,-2.18832169,POINT (-2.1883216879999994 51.27222651806927)
71,Weston Super Mare ,51.307801299999994,-2.98453163,POINT (-2.9845316259999994 51.30780133803734)
72,Billericay ,51.61979469,0.45053817,POINT (0.450538169 51.619794727750495)
73,Weymouth ,50.5892443,-2.47628731,POINT (-2.476287309 50.589244338650474)
74,Wick St Lawrence ,51.39167355,-2.9233078,POINT (-2.9233078029999997 51.39167358796143)
75,Wimborne ,50.79129183,-1.96676107,POINT (-1.9667610740000006 50.791291868484876)
76,Wincanton ,51.044606200000004,-2.41120555,POINT (-2.411205551 51.0446062382697)
77,Winscombe ,51.31569873,-2.86101439,POINT (-2.8610143870000004 51.31569876803023)
78,Billinghay ,53.08398111,-0.26688466,POINT (-0.2668846599999999 53.08398114624598)
79,Wiveliscombe {Hillsmoor) ,51.03887546,-3.3027382000000003,POINT (-3.3027381980000006 51.038875498274656)
80,Bocking ,51.89052632,0.57975572,POINT (0.579755723 51.8905263574917)
81,Wool ,50.68544447,-2.254428,POINT (-2.254427995 50.68544450857231)
82,Wootton Bassett ,51.53075118,-1.89544885,POINT (-1.8954488459999996 51.53075121783361)
83,East Bridgford ,52.98351638,-0.98399043,POINT (-0.9839904339999999 52.983516416357226)
84,Wotton Under Edge ,51.63134843,-2.37835091,POINT (-2.378350906 51.631348467739635)
85,East Leake ,52.8320902,-1.20245823,POINT (-1.2024582300000002 52.83209023652273)
86,Wrington ,51.35994201,-2.77021127,POINT (-2.7702112719999996 51.35994204799026)
87,East Markham ,53.24483117,-0.87321057,POINT (-0.8732105680000001 53.244831206065506)
88,Yeovil ,50.94374139,-2.61015528,POINT (-2.6101552800000003 50.94374142835638)
89,Bowerhill ,51.35924429,-2.14027907,POINT (-2.140279074 51.35924432799089)
90,Ballymena (Tullaghgarley),54.84,-6.303999999999999,POINT (-6.304 54.84000003412726)
91,Horsham ,51.05508648,-0.35997406,POINT (-0.359974056 51.05508651826062)
92,Colerne ,51.43466949,-2.2553077,POINT (-2.2553077039999994 51.43466952792219)
93,Cannington ,51.1480969,-3.04703676,POINT (-3.0470367610000006 51.1480969381794)
94,Luxford Ln-East Grinstead ,51.10836879,0.00417942,POINT (0.004179417 51.10836882821424)
95,Shrewton ,51.18286426,-1.89709371,POINT (-1.8970937049999999 51.18286429814876)
96,Grantownonspey,57.32244,-3.6128199999999997,POINT (-3.6128200000000015 57.322440030649304)
97,Great Wishford ,51.10281728,-1.87827541,POINT (-1.8782754130000001 51.102817318219074)
