,location,uwwName
0,Driffield ,Driffield 
1,Deepings ,Deepings 
2,Heage ,Heage 
3,Cannock ,Cannock 
4,Hillhouse ,Hillhouse 
5,Over ,Over 
6,Horncastle ,Horncastle 
7,Llangefni ,Llangefni 
8,East Harling ,East Harling 
9,Dunstable ,Dunstable 
10,Marehay ,Marehay 
11,Milton ,Milton 
12,Grendon ,Grendon 
13,Sleaford ,Sleaford 
14,Stockport ,Stockport 
15,Renishaw ,Renishaw 
16,Soham ,Soham 
17,Stamford ,Stamford 
18,Ilkeston ,Ilkeston 
19,Droitwich ,Droitwich 
20,Purton ,Purton 
21,Woodhall Spa ,Woodhall Spa 
22,Chalton ,Chalton 
23,Ramsey ,Ramsey 
24,Ambergate ,Ambergate 
25,Alvechurch ,Alvechurch 
26,Stapleford ,Stapleford 
27,Toton ,Toton 
28,Hixon ,Hixon 
29,Gresford ,Gresford 
30,Sherburn in Elmet ,Sherburn in Elmet 
31,Meriden ,Meriden 
32,Melbourne Yw ,Melbourne Yw 
33,Newthorpe ,Newthorpe 
34,Pinxton ,Pinxton 
35,Bourne ,Bourne 
36,Cambridge ,Cambridge 
37,Biddenden ,Biddenden 
38,Chew Stoke ,Chew Stoke 
39,Stamford Md ,Stamford Md 
40,Tunbridge Wells North ,Tunbridge Wells North 
41,Coggeshall ,Coggeshall 
42,Lyndhurst ,Lyndhurst 
43,Shepton Mallet ,Shepton Mallet 
44,Chester Le Street ,Chester Le Street 
45,Knitsley ,Knitsley 
46,Crookhall ,Crookhall 
47,Ilminster ,Ilminster 
48,Keynsham ,Keynsham 
49,Tow Law ,Tow Law 
50,Consett ,Consett 
51,Sherburn ,Sherburn 
52,Woking ,Woking 
53,Oxenhope ,Oxenhope 
54,Melbourne ,Melbourne 
55,Pocklington ,Pocklington 
56,Pegswood ,Pegswood 
57,Whitchurch ,Whitchurch 
58,Pelynt ,Pelynt 
59,Wethersfield ,Wethersfield 
60,Horsham New ,Horsham New 
61,Lidsey ,Lidsey 
62,Sidlesham ,Sidlesham 
63,Eden Vale East Grinstead ,Eden Vale East Grinstead 
64,Frome ,Frome 
65,Kidderminster ,Kidderminster 
66,Derby ,Derby 
67,Ibstock ,Ibstock 
68,Mansfield ,Mansfield 
69,Nuneaton ,Nuneaton 
70,Alderley Edge ,Alderley Edge 
71,St Helens ,St Helens 
72,Birtley ,Birtley 
73,Burscough ,Burscough 
74,Formby ,Formby 
75,Reading ,Reading 
76,Ainsdale ,Ainsdale 
77,Leyland ,Leyland 
78,Ambleside ,Ambleside 
79,Hempnall ,Hempnall 
80,Holbeach ,Holbeach 
81,Mablethorpe ,Mablethorpe 
82,Melbourn ,Melbourn 
83,Abingdon ,Abingdon 
84,Skelmersdale ,Skelmersdale 
85,Biddulph ,Biddulph 
86,Bocking ,Bocking 
87,Hurley ,Hurley 
88,Newmarket ,Newmarket 
89,Mobberley ,Mobberley 
90,Looe ,Looe 
91,Luton ,Luton 
92,Corby ,Corby 
93,Lanchester ,Lanchester 
94,Kendal ,Kendal 
95,Tiptree ,Tiptree 
96,Watlington ,Watlington 
97,Royston ,Royston 
98,Henley ,Henley 
99,Sudbury ,Sudbury 
100,Windermere ,Windermere 
101,Wantage ,Wantage 
102,Wells ,Wells 
103,Newbury ,Newbury 
104,Market Weighton ,Market Weighton 
105,Leven ,Leven 
106,Darley ,Darley 
107,Beverley ,Beverley 
108,Balby ,Balby 
109,Failsworth ,Failsworth 
110,Nafferton ,Nafferton 
111,Rochdale ,Rochdale 
112,Carlisle ,Carlisle 
113,Cherry Burton ,Cherry Burton 
114,Steyning ,Steyning 
115,Rye Meads ,Rye Meads 
116,Bentley ,Bentley 
117,Oldham ,Oldham 
118,Newbury Lane Cuckfield ,Newbury Lane Cuckfield 
119,Ratfyn ,Ratfyn 
120,Penrith ,Penrith 
121,Washwater ,Washwater 
122,Huyton ,Huyton 
123,Colwall ,Colwall 
124,Leigh ,Leigh 
125,Iwerne Minster ,Iwerne Minster 
126,Rossendale STw,Rossendale STw
127,Longhope ,Longhope 
128,Loughborough ,Loughborough 
129,Worsley  ,Worsley  
